"Date Time, GMT-11:00","Abs Pres, kPa","Temp, °C","Coupler Detached","Coupler Attached","Host Connected","End Of File"
09/18/18 04:00:00 PM,100.650,25.513,Logged,,,
09/18/18 04:15:00 PM,100.632,25.125,,,,
09/18/18 04:30:00 PM,100.660,25.028,,,,
09/18/18 04:45:00 PM,100.655,24.931,,,,
09/18/18 05:00:00 PM,100.668,24.738,,,,
09/18/18 05:15:00 PM,100.653,24.641,,,,
09/18/18 05:30:00 PM,100.670,24.545,,,,
09/18/18 05:45:00 PM,100.686,24.448,,,,
09/18/18 06:00:00 PM,100.714,24.351,,,,
09/18/18 06:15:00 PM,100.688,24.255,,,,
09/18/18 06:30:00 PM,100.737,24.158,,,,
09/18/18 06:45:00 PM,100.748,24.158,,,,
09/18/18 07:00:00 PM,100.754,24.062,,,,
09/18/18 07:15:00 PM,100.781,23.966,,,,
09/18/18 07:30:00 PM,100.756,23.869,,,,
09/18/18 07:45:00 PM,100.773,23.773,,,,
09/18/18 08:00:00 PM,100.773,23.773,,,,
09/18/18 08:15:00 PM,100.805,23.773,,,,
09/18/18 08:30:00 PM,100.836,23.773,,,,
09/18/18 08:45:00 PM,100.836,23.773,,,,
09/18/18 09:00:00 PM,100.832,23.677,,,,
09/18/18 09:15:00 PM,100.853,23.677,,,,
09/18/18 09:30:00 PM,100.891,23.581,,,,
09/18/18 09:45:00 PM,100.838,23.581,,,,
09/18/18 10:00:00 PM,100.845,23.484,,,,
09/18/18 10:15:00 PM,100.840,23.388,,,,
09/18/18 10:30:00 PM,100.862,23.388,,,,
09/18/18 10:45:00 PM,100.862,23.388,,,,
09/18/18 11:00:00 PM,100.900,23.292,,,,
09/18/18 11:15:00 PM,100.878,23.292,,,,
09/18/18 11:30:00 PM,100.895,23.196,,,,
09/18/18 11:45:00 PM,100.917,23.196,,,,
09/19/18 12:00:00 AM,100.870,23.100,,,,
09/19/18 12:15:00 AM,100.859,23.100,,,,
09/19/18 12:30:00 AM,100.859,23.100,,,,
09/19/18 12:45:00 AM,100.827,23.100,,,,
09/19/18 01:00:00 AM,100.791,23.004,,,,
09/19/18 01:15:00 AM,100.829,22.908,,,,
09/19/18 01:30:00 AM,100.836,22.812,,,,
09/19/18 01:45:00 AM,100.806,22.621,,,,
09/19/18 02:00:00 AM,100.804,22.333,,,,
09/19/18 02:15:00 AM,100.774,22.142,,,,
09/19/18 02:30:00 AM,100.744,21.951,,,,
09/19/18 02:45:00 AM,100.730,21.855,,,,
09/19/18 03:00:00 AM,100.757,21.760,,,,
09/19/18 03:15:00 AM,100.732,21.664,,,,
09/19/18 03:30:00 AM,100.774,21.664,,,,
09/19/18 03:45:00 AM,100.749,21.569,,,,
09/19/18 04:00:00 AM,100.734,21.473,,,,
09/19/18 04:15:00 AM,100.751,21.378,,,,
09/19/18 04:30:00 AM,100.719,21.378,,,,
09/19/18 04:45:00 AM,100.736,21.282,,,,
09/19/18 05:00:00 AM,100.785,21.187,,,,
09/19/18 05:15:00 AM,100.776,20.996,,,,
09/19/18 05:30:00 AM,100.814,20.901,,,,
09/19/18 05:45:00 AM,100.842,20.805,,,,
09/19/18 06:00:00 AM,100.869,20.710,,,,
09/19/18 06:15:00 AM,100.897,20.615,,,,
09/19/18 06:30:00 AM,100.886,20.615,,,,
09/19/18 06:45:00 AM,100.897,20.615,,,,
09/19/18 07:00:00 AM,100.886,20.615,,,,
09/19/18 07:15:00 AM,100.903,20.519,,,,
09/19/18 07:30:00 AM,100.910,20.424,,,,
09/19/18 07:45:00 AM,100.914,20.519,,,,
09/19/18 08:00:00 AM,100.903,20.519,,,,
09/19/18 08:15:00 AM,100.907,20.615,,,,
09/19/18 08:30:00 AM,100.886,20.615,,,,
09/19/18 08:45:00 AM,100.901,20.710,,,,
09/19/18 09:00:00 AM,100.922,20.710,,,,
09/19/18 09:15:00 AM,100.937,20.805,,,,
09/19/18 09:30:00 AM,100.958,20.805,,,,
09/19/18 09:45:00 AM,100.962,20.901,,,,
09/19/18 10:00:00 AM,100.952,20.901,,,,
09/19/18 10:15:00 AM,100.967,20.996,,,,
09/19/18 10:30:00 AM,100.939,21.091,,,,
09/19/18 10:45:00 AM,100.922,21.187,,,,
09/19/18 11:00:00 AM,100.899,21.378,,,,
09/19/18 11:15:00 AM,100.882,21.473,,,,
09/19/18 11:30:00 AM,100.833,21.569,,,,
09/19/18 11:45:00 AM,100.778,21.760,,,,
09/19/18 12:00:00 PM,100.730,21.855,,,,
09/19/18 12:15:00 PM,100.717,22.046,,,,
09/19/18 12:30:00 PM,100.685,22.046,,,,
09/19/18 12:45:00 PM,100.647,22.142,,,,
09/19/18 01:00:00 PM,100.630,22.238,,,,
09/19/18 01:15:00 PM,100.603,22.333,,,,
