Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,End Of File
04/06/17,09:30:00,14.6436,79.853,Logged,,,
04/06/17,09:45:00,14.6416,79.151,,,,
04/06/17,10:00:00,14.6410,78.449,,,,
04/06/17,10:15:00,14.6395,77.923,,,,
04/06/17,10:30:00,14.6400,77.574,,,,
04/06/17,10:45:00,14.6375,77.225,,,,
04/06/17,11:00:00,14.6356,77.050,,,,
04/06/17,11:15:00,14.6350,76.876,,,,
04/06/17,11:30:00,14.6360,76.703,,,,
04/06/17,11:45:00,14.6346,76.703,,,,
04/06/17,12:00:00,14.6297,76.528,,,,
04/06/17,12:15:00,14.6249,76.354,,,,
04/06/17,12:30:00,14.6205,76.354,,,,
04/06/17,12:45:00,14.6157,76.181,,,,
04/06/17,13:00:00,14.6128,76.181,,,,
04/06/17,13:15:00,14.6114,76.181,,,,
04/06/17,13:30:00,14.6089,76.354,,,,
04/06/17,13:45:00,14.6060,76.354,,,,
04/06/17,14:00:00,14.6060,76.354,,,,
04/06/17,14:15:00,14.6065,76.528,,,,
04/06/17,14:30:00,14.6036,76.528,,,,
04/06/17,14:45:00,14.6041,76.703,,,,
04/06/17,15:00:00,14.6056,76.703,,,,
04/06/17,15:15:00,14.6041,76.703,,,,
04/06/17,15:30:00,14.6046,76.876,,,,
04/06/17,15:45:00,14.6066,77.050,,,,
04/06/17,16:00:00,14.6070,77.225,,,,
04/06/17,16:15:00,14.6091,77.400,,,,
04/06/17,16:30:00,14.6099,77.749,,,,
04/06/17,16:45:00,14.6101,78.274,,,,
04/06/17,17:00:00,14.6121,78.975,,,,
04/06/17,17:15:00,14.6150,79.502,,,,
04/06/17,17:30:00,14.6189,79.853,,,,
04/06/17,17:45:00,14.6220,80.382,,,,
04/06/17,18:00:00,14.6215,80.735,,,,
04/06/17,18:15:00,14.6226,81.090,,,,
04/06/17,18:30:00,14.6221,81.442,,,,
04/06/17,18:45:00,14.6211,81.621,,,,
04/06/17,19:00:00,14.6236,81.975,,,,
04/06/17,19:15:00,14.6285,82.152,,,,
04/06/17,19:30:00,14.6275,82.330,,,,
04/06/17,19:45:00,14.6324,82.508,,,,
04/06/17,20:00:00,14.6353,82.508,,,,
04/06/17,20:15:00,14.6358,82.686,,,,
04/06/17,20:30:00,14.6401,82.686,,,,
04/06/17,20:45:00,14.6392,82.864,,,,
04/06/17,21:00:00,14.6442,83.043,,,,
04/06/17,21:15:00,14.6442,83.043,,,,
04/06/17,21:30:00,14.6471,83.043,,,,
04/06/17,21:45:00,14.6485,83.043,,,,
04/06/17,22:00:00,14.6490,83.221,,,,
04/06/17,22:15:00,14.6490,83.221,,,,
04/06/17,22:30:00,14.6490,83.221,,,,
04/06/17,22:45:00,14.6500,83.043,,,,
04/06/17,23:00:00,14.6500,83.043,,,,
04/06/17,23:15:00,14.6500,83.043,,,,
04/06/17,23:30:00,14.6471,83.043,,,,
04/06/17,23:45:00,14.6471,83.043,,,,
04/07/17,00:00:00,14.6471,83.043,,,,
