Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,End Of File
03/29/16,14:30:00,14.5962,93.682,Logged,,,
03/29/16,14:45:00,14.5944,89.384,,,,
03/29/16,15:00:00,14.5864,89.200,,,,
03/29/16,15:15:00,14.6066,84.834,,,,
03/29/16,15:30:00,14.6111,83.935,,,,
03/29/16,15:45:00,14.6088,83.221,,,,
03/29/16,16:00:00,14.6089,82.508,,,,
03/29/16,16:15:00,14.6102,82.152,,,,
03/29/16,16:30:00,14.6115,81.797,,,,
03/29/16,16:45:00,14.6140,81.797,,,,
03/29/16,17:00:00,14.6159,81.621,,,,
03/29/16,17:15:00,14.6153,81.442,,,,
03/29/16,17:30:00,14.6197,81.266,,,,
03/29/16,17:45:00,14.6191,81.090,,,,
03/29/16,18:00:00,14.6210,80.911,,,,
03/29/16,18:15:00,14.6258,80.911,,,,
03/29/16,18:30:00,14.6252,80.735,,,,
03/29/16,18:45:00,14.6228,80.735,,,,
03/29/16,19:00:00,14.6246,80.559,,,,
03/29/16,19:15:00,14.6271,80.559,,,,
03/29/16,19:30:00,14.6295,80.559,,,,
03/29/16,19:45:00,14.6363,80.382,,,,
03/29/16,20:00:00,14.6388,80.382,,,,
03/29/16,20:15:00,14.6388,80.382,,,,
03/29/16,20:30:00,14.6411,80.382,,,,
03/29/16,20:45:00,14.6436,80.382,,,,
03/29/16,21:00:00,14.6455,80.206,,,,
03/29/16,21:15:00,14.6479,80.206,,,,
03/29/16,21:30:00,14.6797,80.206,,,,
03/29/16,21:45:00,14.7139,80.206,,,,
03/29/16,22:00:00,14.6968,80.206,,,,
03/29/16,22:15:00,14.7060,80.029,,,,
03/29/16,22:30:00,14.7049,79.678,,,,
03/29/16,22:45:00,14.8069,79.502,,,,
03/29/16,23:00:00,14.7862,79.151,,,,
03/29/16,23:15:00,14.7734,78.975,,,,
03/29/16,23:30:00,14.7728,78.800,,,,
03/29/16,23:45:00,14.8462,78.800,,,,
03/30/16,00:00:00,14.9915,78.449,,,,
03/30/16,00:15:00,14.9470,78.274,,,,
03/30/16,00:30:00,14.9221,78.098,,,,
03/30/16,00:45:00,14.9049,78.098,,,,
03/30/16,01:00:00,14.8806,78.098,,,,
03/30/16,01:15:00,14.8561,78.098,,,,
03/30/16,01:30:00,14.8390,78.098,,,,
03/30/16,01:45:00,14.8274,78.274,,,,
03/30/16,02:00:00,14.8201,78.274,,,,
03/30/16,02:15:00,14.8152,78.274,,,,
03/30/16,02:30:00,14.8030,78.274,,,,
03/30/16,02:45:00,14.7889,78.449,,,,
03/30/16,03:00:00,14.7865,78.449,,,,
03/30/16,03:15:00,14.7669,78.449,,,,
03/30/16,03:30:00,14.7693,78.449,,,,
03/30/16,03:45:00,14.7619,78.449,,,,
03/30/16,04:00:00,14.7619,78.449,,,,
03/30/16,04:15:00,14.7522,78.449,,,,
03/30/16,04:30:00,14.7791,78.449,,,,
03/30/16,04:45:00,14.7865,78.449,,,,
03/30/16,05:00:00,14.7912,78.449,,,,
03/30/16,05:15:00,14.7937,78.449,,,,
03/30/16,05:30:00,14.7912,78.449,,,,
03/30/16,05:45:00,14.7962,78.449,,,,
03/30/16,06:00:00,14.7918,78.624,,,,
03/30/16,06:15:00,14.7821,78.624,,,,
03/30/16,06:30:00,14.7846,78.624,,,,
03/30/16,06:45:00,14.7870,78.624,,,,
03/30/16,07:00:00,14.7796,78.624,,,,
